id,sup,tot,ht_h,ht_a,ft_h,ft_a
1692,-0.48,3.29,2,0,4,0
1693,1.49,2.59,5,0,6,0
1694,0.06,2.62,2,0,3,1
1695,0.01,2.37,1,1,1,2
1696,0.06,2.63,0,0,2,3
1697,1.42,2.43,0,0,0,0
1698,0.87,2.25,0,0,3,0
1699,-0.86,2.33,1,0,1,1
1700,1.16,2.54,0,1,1,1
1701,1.13,3.01,1,1,4,1
1702,0.91,2.95,0,0,0,1
1703,-0.49,2.61,0,1,1,2
1704,1.73,3.28,1,0,3,0
1705,0.19,2.5,1,1,3,2
1706,-0.11,2.6,0,2,0,4
1707,-1.53,3.33,0,1,0,2
1708,1.15,2.8,0,0,1,0
1709,0.92,3.04,1,0,1,2
1710,0.35,2.57,0,0,0,0
1711,0.74,2.47,1,0,1,0
1712,-1.19,2.89,1,2,2,2
1713,-0.57,3.23,1,0,4,0
1714,0.47,2.61,0,0,1,2
1715,0.63,2.51,0,0,0,1
1716,0.37,2.4,0,0,1,0
1717,0.08,2.55,0,2,1,2
1718,-0.88,3.28,0,1,2,2
1719,-0.37,2.58,0,1,1,1
1720,0.13,3.14,2,0,3,0
1721,0.8,3.08,0,1,0,2
1722,-1.59,3.27,0,3,1,5
1723,0.07,2.67,0,1,0,3
1724,-0.01,2.25,2,0,3,1
1725,-0.67,3.1,0,0,0,1
1726,0.2,3,0,0,0,0
1727,-0.93,2.67,0,0,0,0
1728,-0.44,2.75,1,0,3,0
1729,-1.14,2.7,0,0,0,1
1730,-0.95,2.72,1,1,1,3
1731,0.44,2.67,0,2,0,2
1732,0.18,2.63,0,0,1,0
1733,-0.04,2.98,1,1,1,2
1734,0.59,2.54,1,1,1,1
1735,0.86,2.33,1,0,1,0
1736,1.58,2.91,2,0,2,0
1737,0.27,2.3,0,1,1,2
1738,0.37,2.29,1,0,2,1
1739,0.05,2.72,1,0,2,0
1740,-0.31,2.38,3,1,4,1
1741,0.28,3.36,1,1,2,1
1742,0.39,3.13,0,0,0,0
1743,0.81,2.92,1,0,2,0
1744,-1.36,2.59,0,0,0,0
1745,-0.02,2.64,0,0,0,1
1746,0.76,2.73,3,0,4,0
1747,-0.35,2.33,2,0,2,1
1748,0.3,2.65,0,1,0,3
1749,-0.27,2.66,0,1,0,1
1750,-0.05,3.24,0,1,1,1
1751,0.51,2.5,0,0,1,2
1752,-0.09,2.96,1,1,1,1
1753,-0.36,2.72,2,0,2,1
1754,0.1,2.37,0,0,0,0
1755,0.49,2.22,0,3,1,3
1756,1.02,3.06,0,0,2,1
1757,-0.75,3.03,0,0,1,0
1758,-0.04,2.81,1,2,2,3
1759,0.7,2.46,0,0,0,0
1760,0.59,2.32,1,0,1,1
1761,-0.67,2.46,0,0,0,1
